,시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액,건축년도,도로명,해제사유발생일
6884,경기도 용인수지구 고기동,6**,단독,8m미만,204.24,280.0,202106,18,92200,2019.0,이종무로169번길,
6885,경기도 용인수지구 고기동,6**,단독,8m미만,207.54,295.0,202105,8,91110,2019.0,이종무로169번길,
6886,경기도 용인수지구 고기동,6**,단독,8m미만,207.54,297.0,202105,22,91269,2019.0,이종무로169번길,
6887,경기도 용인수지구 고기동,4**,단독,8m미만,114.28,303.0,202105,30,60000,2019.0,고기로,
6888,경기도 용인수지구 고기동,2**,단독,8m미만,62.39,322.0,202106,5,85000,2010.0,고기로,
6890,경기도 용인수지구 고기동,4**,단독,8m미만,171.76,357.0,202103,20,81000,2018.0,고기로,
6891,경기도 용인수지구 고기동,4**,단독,8m미만,274.28,420.0,202104,22,55000,2018.0,고기로655번길,
6892,경기도 용인수지구 고기동,6**,단독,8m미만,82.8,423.0,202102,24,60700,2010.0,샘말로155번길,
6894,경기도 용인수지구 고기동,2**,단독,8m미만,324.44,469.0,202105,7,90000,2003.0,샘말로63번길,
6895,경기도 용인수지구 고기동,4**,단독,8m미만,69.7,494.0,202103,26,70000,2007.0,고기로,
6898,경기도 용인수지구 고기동,6**,단독,8m미만,185.19,538.0,202104,10,85000,2005.0,이종무로225번길,
6907,경기도 용인수지구 동천동,4**,단독,8m미만,97.63,205.0,202101,9,65500,2018.0,동천로192번길,
6909,경기도 용인수지구 동천동,6**,단독,8m미만,144.13,211.0,202104,20,56400,2016.0,동천로392번가길,
6910,경기도 용인수지구 동천동,4**,단독,8m미만,214.61,222.0,202102,27,84347,2018.0,동천로192번길,
6911,경기도 용인수지구 동천동,9**,단독,8m미만,124.61,240.29,202105,29,72591,2018.0,고기로139번길,
6912,경기도 용인수지구 동천동,4**,단독,8m미만,97.63,250.05,202101,9,70000,2018.0,동천로192번길,20210319.0
6921,경기도 용인수지구 성복동,5**,단독,8m미만,149.58,236.0,202103,10,68000,2018.0,성복2로301번길,
6924,경기도 용인수지구 신봉동,7**,단독,8m미만,197.24,321.0,202103,27,71665,2017.0,신봉1로347번길,
6926,경기도 용인수지구 신봉동,6**,단독,8m미만,271.08,401.0,202102,18,99000,2007.0,신봉1로344번길,
6927,경기도 용인수지구 신봉동,7**,단독,8m미만,189.12,491.0,202106,4,82000,2012.0,신봉1로,
6931,경기도 용인수지구 신봉동,7**,단독,8m미만,97.52,658.0,202105,13,98821,2009.0,신봉1로,
6937,경기도 용인수지구 죽전동,1***,단독,8m미만,196.89,141.5,202104,26,81586,2020.0,푸른솔로,
6960,경기도 용인처인구 고림동,4**,단독,-,199.32,231.0,202101,26,50950,2021.0,임원로,
6963,경기도 용인처인구 고림동,4**,단독,8m미만,136.65,240.0,202105,21,52246,2000.0,임원로,
6964,경기도 용인처인구 고림동,4**,단독,8m미만,238.62,240.0,202103,10,57272,2021.0,임원로,
6972,경기도 용인처인구 고림동,4**,단독,8m미만,97.74,262.0,202103,1,52450,2000.0,,
6973,경기도 용인처인구 고림동,4**,단독,8m미만,97.74,262.0,202103,1,54500,2000.0,,20210518.0
6974,경기도 용인처인구 고림동,4**,단독,-,199.32,266.0,202101,26,53690,2021.0,임원로,
6975,경기도 용인처인구 고림동,6**,단독,8m미만,108.69,281.0,202106,8,50200,2012.0,고림로156번길,
6976,경기도 용인처인구 고림동,7**,단독,8m미만,154.88,285.0,202104,3,64000,2018.0,고림로,
6977,경기도 용인처인구 고림동,4**,단독,-,171.9,288.0,202101,8,65500,2021.0,임원로,20210204.0
6978,경기도 용인처인구 고림동,4**,단독,-,171.9,288.0,202101,8,65500,2021.0,임원로,
6980,경기도 용인처인구 고림동,7**,단독,-,84.94,290.45,202107,1,51768,2021.0,고림로110번길,
6981,경기도 용인처인구 고림동,4**,단독,-,171.6,292.0,202104,30,58300,2021.0,,
6986,경기도 용인처인구 고림동,4**,단독,8m미만,97.74,366.6,202103,1,54500,2000.0,,20210521.0
6989,경기도 용인처인구 고림동,6**,단독,8m미만,172.47,498.0,202103,10,78910,2016.0,고림로156번길,
6991,경기도 용인처인구 고림동,8**,단독,8m미만,103.15,661.0,202105,18,70000,2000.0,고진로91번길,20210525.0
7006,경기도 용인처인구 김량장동,3**,단독,8m미만,199.71,286.0,202103,15,59938,2019.0,중부대로1398번길,
7015,경기도 용인처인구 남동,4**,단독,8m미만,113.26,595.0,202106,25,69000,2005.0,신기로42번길,
7017,경기도 용인처인구 남동,4**,단독,8m미만,219.82,831.0,202103,19,54700,2010.0,신기로107번길,
7018,경기도 용인처인구 남동,4**,단독,8m미만,219.82,935.0,202101,30,57000,2010.0,신기로107번길,20210319.0
7019,경기도 용인처인구 남동,4**,단독,8m미만,219.82,935.47,202103,19,57000,2000.0,신기로107번길,
7035,경기도 용인처인구 남사읍 아곡리,3**,단독,8m미만,155.75,528.0,202107,4,55000,2002.0,아곡로,
7037,경기도 용인처인구 남사읍 전궁리,2**,단독,8m미만,198.52,643.0,202101,5,90000,2016.0,각궁로116번길,
7042,경기도 용인처인구 남사읍 진목리,3**,단독,8m미만,196.22,560.0,202106,22,50200,2015.0,어진로102번길,
7058,경기도 용인처인구 마평동,5**,단독,8m미만,60.1,554.0,202104,30,90000,2000.0,동부로23번길,
7064,경기도 용인처인구 모현읍 능원리,3**,단독,8m미만,99.54,285.0,202104,1,56260,2017.0,능곡로56번길,
7065,경기도 용인처인구 모현읍 능원리,3**,단독,8m미만,99.54,334.0,202104,1,60500,2017.0,능곡로56번길,20210628.0
7067,경기도 용인처인구 모현읍 능원리,6**,단독,8m미만,86.4,528.0,202106,22,53000,2000.0,능원로132번길,
7069,경기도 용인처인구 모현읍 동림리,4*,단독,8m미만,176.62,185.0,202102,5,59000,2000.0,왕림로,
7071,경기도 용인처인구 모현읍 동림리,1**,단독,8m미만,135.78,268.0,202105,10,57300,2011.0,동산로16번길,
7072,경기도 용인처인구 모현읍 동림리,1**,단독,8m미만,135.78,268.0,202105,10,57300,2011.0,동산로16번길,20210715.0
7074,경기도 용인처인구 모현읍 동림리,3**,단독,8m미만,142.96,326.0,202103,24,55070,2017.0,문형동림로,
7075,경기도 용인처인구 모현읍 동림리,1**,단독,8m미만,149.06,359.0,202104,30,52000,2010.0,동산로16번길,20210621.0
7076,경기도 용인처인구 모현읍 동림리,1**,단독,8m미만,149.06,359.0,202104,30,52000,2010.0,동산로16번길,20210620.0
7077,경기도 용인처인구 모현읍 동림리,1**,단독,8m미만,149.06,359.0,202104,30,50700,2010.0,동산로16번길,
7079,경기도 용인처인구 모현읍 동림리,3**,단독,8m미만,142.96,429.0,202103,24,56000,2017.0,문형동림로,20210611.0
